"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2010","1,234.45","1,221.30","1,237.35","1,220.30","","1.01%"
"06/16/2010","1,231.60","1,233.95","1,238.65","1,227.80","","-0.23%"
"06/17/2010","1,245.35","1,230.50","1,251.65","1,229.90","","1.12%"
"06/18/2010","1,257.35","1,245.30","1,262.90","1,242.00","","0.96%"
"06/21/2010","1,232.15","1,259.10","1,265.40","1,230.95","","-2.00%"
"06/22/2010","1,239.50","1,231.65","1,243.10","1,231.65","","0.60%"
"06/23/2010","1,237.20","1,238.75","1,247.10","1,225.30","","-0.19%"
"06/24/2010","1,244.55","1,235.00","1,248.35","1,228.25","","0.59%"
"06/25/2010","1,255.50","1,243.45","1,258.65","1,241.35","","0.88%"
"06/28/2010","1,238.05","1,253.75","1,263.45","1,236.42","","-1.39%"
"06/29/2010","1,240.95","1,237.10","1,245.30","1,227.35","","0.23%"
"06/30/2010","1,242.35","1,239.40","1,248.55","1,235.45","","0.11%"
"07/01/2010","1,199.65","1,242.65","1,244.50","1,197.30","","-3.44%"
"07/02/2010","1,211.60","1,197.00","1,223.35","1,197.00","","1.00%"
"07/05/2010","1,208.95","1,211.10","1,215.35","1,206.55","","-0.22%"
"07/06/2010","1,194.25","1,209.40","1,215.25","1,191.30","","-1.22%"
"07/07/2010","1,202.35","1,191.95","1,204.25","1,185.55","","0.68%"
"07/08/2010","1,198.45","1,203.00","1,209.70","1,189.35","","-0.32%"
"07/09/2010","1,212.00","1,197.35","1,213.85","1,194.70","","1.13%"
"07/12/2010","1,196.85","1,212.15","1,214.00","1,196.85","","-1.25%"
"07/13/2010","1,211.65","1,195.30","1,218.60","1,195.30","","1.24%"
"07/14/2010","1,208.50","1,211.75","1,218.85","1,203.16","","-0.26%"
"07/15/2010","1,208.55","1,209.05","1,217.95","1,204.55","","0.00%"
"07/16/2010","1,193.65","1,208.90","1,211.00","1,186.35","","-1.23%"
"07/19/2010","1,183.70","1,193.20","1,195.10","1,177.65","","-0.83%"
"07/20/2010","1,192.30","1,184.65","1,194.30","1,175.85","","0.73%"
"07/21/2010","1,186.00","1,191.40","1,198.05","1,183.35","","-0.53%"
"07/22/2010","1,194.95","1,184.90","1,200.60","1,181.05","","0.75%"
"07/23/2010","1,189.10","1,195.05","1,203.95","1,183.81","","-0.49%"
"07/26/2010","1,182.50","1,189.25","1,195.30","1,179.65","","-0.56%"
"07/27/2010","1,162.30","1,181.90","1,187.75","1,158.15","","-1.71%"
"07/28/2010","1,163.55","1,162.50","1,166.35","1,157.40","","0.11%"
"07/29/2010","1,166.93","1,163.50","1,169.80","1,159.65","","0.29%"
"07/30/2010","1,180.90","1,167.35","1,183.95","1,166.00","","1.20%"
"08/02/2010","1,181.85","1,181.45","1,191.40","1,175.50","","0.08%"
"08/03/2010","1,185.70","1,181.65","1,191.35","1,179.75","","0.33%"
"08/04/2010","1,195.75","1,185.70","1,203.35","1,184.40","","0.85%"
"08/05/2010","1,195.10","1,195.35","1,200.55","1,190.65","","-0.05%"
"08/06/2010","1,205.30","1,194.70","1,213.61","1,193.10","","0.85%"
"08/09/2010","1,201.40","1,204.85","1,210.55","1,199.90","","-0.32%"
"08/10/2010","1,203.85","1,201.10","1,208.05","1,191.50","","0.20%"
"08/11/2010","1,197.75","1,204.25","1,209.75","1,194.15","","-0.51%"
"08/12/2010","1,213.20","1,198.40","1,217.25","1,197.85","","1.29%"
"08/13/2010","1,215.55","1,214.05","1,219.35","1,212.55","","0.19%"
"08/16/2010","1,224.85","1,214.55","1,229.15","1,214.55","","0.77%"
"08/17/2010","1,224.90","1,224.90","1,230.45","1,224.10","","0.00%"
"08/18/2010","1,229.55","1,225.30","1,233.35","1,218.40","","0.38%"
"08/19/2010","1,232.10","1,230.60","1,239.15","1,229.30","","0.21%"
"08/20/2010","1,228.05","1,230.70","1,233.05","1,222.25","","-0.33%"
"08/23/2010","1,225.40","1,229.10","1,233.85","1,223.65","","-0.22%"
"08/24/2010","1,229.75","1,225.70","1,236.00","1,210.60","","0.35%"
"08/25/2010","1,240.10","1,229.65","1,242.35","1,229.65","","0.84%"
"08/26/2010","1,236.05","1,240.55","1,246.00","1,235.85","","-0.33%"
"08/27/2010","1,238.20","1,236.94","1,244.25","1,233.75","","0.17%"
"08/30/2010","1,236.80","1,237.00","1,238.80","1,233.80","","-0.11%"
"08/31/2010","1,247.65","1,236.95","1,251.90","1,233.75","","0.88%"
"09/01/2010","1,244.35","1,248.00","1,255.15","1,242.75","","-0.26%"
"09/02/2010","1,251.25","1,244.30","1,253.80","1,243.50","","0.55%"
"09/03/2010","1,247.10","1,252.40","1,255.10","1,237.00","","-0.33%"
"09/06/2010","1,250.05","1,248.60","1,251.45","1,247.05","","0.24%"
"09/07/2010","1,255.40","1,248.55","1,260.30","1,244.50","","0.43%"
"09/08/2010","1,255.20","1,254.55","1,262.75","1,253.50","","-0.02%"
"09/09/2010","1,244.10","1,253.45","1,259.30","1,242.70","","-0.88%"
"09/10/2010","1,246.45","1,244.30","1,251.65","1,237.05","","0.19%"
"09/13/2010","1,245.45","1,245.90","1,249.70","1,241.45","","-0.08%"
"09/14/2010","1,268.85","1,245.00","1,275.25","1,244.50","","1.88%"
"09/15/2010","1,268.05","1,268.10","1,272.35","1,263.45","","-0.06%"
"09/16/2010","1,275.55","1,268.10","1,278.70","1,265.65","","0.59%"
"09/17/2010","1,274.90","1,276.00","1,284.25","1,273.10","","-0.05%"
"09/20/2010","1,278.35","1,277.40","1,285.20","1,275.50","","0.27%"
"09/21/2010","1,286.95","1,279.15","1,292.70","1,271.85","","0.67%"
"09/22/2010","1,291.35","1,286.60","1,296.60","1,285.80","","0.34%"
"09/23/2010","1,292.55","1,292.40","1,297.35","1,288.25","","0.09%"
"09/24/2010","1,296.95","1,292.90","1,300.95","1,292.30","","0.34%"
"09/27/2010","1,295.00","1,298.50","1,301.00","1,293.50","","-0.15%"
"09/28/2010","1,309.10","1,295.30","1,311.10","1,283.60","","1.09%"
"09/29/2010","1,309.90","1,309.00","1,314.20","1,306.15","","0.06%"
"09/30/2010","1,309.50","1,310.35","1,316.80","1,296.90","","-0.03%"
"10/01/2010","1,318.80","1,310.55","1,322.30","1,307.10","","0.71%"
"10/04/2010","1,315.25","1,318.40","1,321.00","1,313.25","","-0.27%"
"10/05/2010","1,340.75","1,314.00","1,342.20","1,312.25","","1.94%"
"10/06/2010","1,349.40","1,341.00","1,350.80","1,339.65","","0.65%"
"10/07/2010","1,333.70","1,349.65","1,365.60","1,326.55","","-1.16%"
"10/08/2010","1,346.80","1,332.90","1,350.20","1,325.35","","0.98%"
"10/11/2010","1,353.95","1,346.40","1,356.15","1,340.85","","0.53%"
"10/12/2010","1,350.60","1,354.50","1,356.30","1,341.45","","-0.25%"
"10/13/2010","1,372.10","1,350.65","1,375.15","1,349.40","","1.59%"
"10/14/2010","1,381.30","1,372.70","1,388.10","1,371.25","","0.67%"
"10/15/2010","1,369.15","1,380.85","1,386.25","1,363.20","","-0.88%"
"10/18/2010","1,369.80","1,371.00","1,375.30","1,353.05","","0.05%"
"10/19/2010","1,335.45","1,369.40","1,372.05","1,329.30","","-2.51%"
"10/20/2010","1,346.35","1,334.80","1,348.20","1,330.80","","0.82%"
"10/21/2010","1,325.50","1,346.10","1,350.05","1,318.74","","-1.55%"
"10/22/2010","1,328.20","1,326.05","1,329.35","1,316.09","","0.20%"
"10/25/2010","1,340.45","1,331.89","1,350.20","1,331.80","","0.92%"
"10/26/2010","1,339.90","1,339.45","1,343.90","1,328.41","","-0.04%"
"10/27/2010","1,325.30","1,339.65","1,344.00","1,319.24","","-1.09%"
"10/28/2010","1,344.35","1,325.59","1,346.50","1,323.55","","1.44%"
"10/29/2010","1,359.55","1,344.09","1,359.95","1,335.56","","1.13%"
"11/01/2010","1,351.75","1,361.19","1,366.49","1,349.80","","-0.57%"
"11/02/2010","1,357.50","1,351.25","1,359.95","1,350.70","","0.43%"
"11/03/2010","1,348.65","1,357.96","1,365.25","1,324.64","","-0.65%"
"11/04/2010","1,392.75","1,348.09","1,393.66","1,346.75","","3.27%"
"11/05/2010","1,393.90","1,392.69","1,398.35","1,374.15","","0.08%"
"11/08/2010","1,409.45","1,394.90","1,410.70","1,387.14","","1.12%"
"11/09/2010","1,390.95","1,410.41","1,425.36","1,383.74","","-1.31%"
"11/10/2010","1,403.75","1,392.70","1,410.80","1,384.25","","0.92%"
"11/11/2010","1,409.35","1,403.30","1,418.25","1,396.95","","0.40%"
"11/12/2010","1,368.95","1,409.90","1,410.61","1,360.26","","-2.87%"
"11/15/2010","1,359.49","1,366.95","1,377.16","1,355.59","","-0.69%"
"11/16/2010","1,340.85","1,360.40","1,364.85","1,329.85","","-1.37%"
"11/17/2010","1,337.25","1,340.00","1,345.20","1,331.30","","-0.27%"
"11/18/2010","1,353.85","1,336.00","1,359.55","1,335.59","","1.24%"
"11/19/2010","1,353.50","1,350.49","1,363.29","1,341.90","","-0.03%"
"11/22/2010","1,366.35","1,354.70","1,368.11","1,348.55","","0.95%"
"11/23/2010","1,377.20","1,366.40","1,382.40","1,356.35","","0.79%"
"11/24/2010","1,374.90","1,377.00","1,381.70","1,369.60","","-0.17%"
"11/25/2010","1,374.62","1,373.55","1,375.40","1,368.25","","-0.02%"
"11/26/2010","1,364.42","1,374.49","1,375.16","1,350.64","","-0.74%"
"11/29/2010","1,368.37","1,364.30","1,371.13","1,354.97","","0.29%"
"11/30/2010","1,384.85","1,368.40","1,390.15","1,363.04","","1.20%"
"12/01/2010","1,387.10","1,385.70","1,397.11","1,382.15","","0.16%"
"12/02/2010","1,384.65","1,387.69","1,398.60","1,382.95","","-0.18%"
"12/03/2010","1,415.05","1,385.36","1,415.91","1,383.55","","2.20%"
"12/06/2010","1,423.55","1,415.56","1,427.51","1,409.15","","0.60%"
"12/07/2010","1,401.89","1,423.45","1,431.45","1,396.49","","-1.52%"
"12/08/2010","1,382.10","1,401.19","1,404.42","1,371.85","","-1.41%"
"12/09/2010","1,387.64","1,382.05","1,394.54","1,379.68","","0.40%"
"12/10/2010","1,386.05","1,387.80","1,392.55","1,372.30","","-0.11%"
"12/13/2010","1,393.76","1,383.76","1,399.44","1,380.55","","0.56%"
"12/14/2010","1,396.25","1,393.40","1,408.10","1,392.05","","0.18%"
"12/15/2010","1,379.80","1,396.05","1,397.40","1,377.39","","-1.18%"
"12/16/2010","1,369.70","1,380.80","1,386.75","1,361.75","","-0.73%"
"12/17/2010","1,375.41","1,371.51","1,379.36","1,365.05","","0.42%"
"12/20/2010","1,384.65","1,376.80","1,388.45","1,376.24","","0.67%"
"12/21/2010","1,385.74","1,385.26","1,392.39","1,381.16","","0.08%"
"12/22/2010","1,385.00","1,385.75","1,391.20","1,382.04","","-0.05%"
"12/23/2010","1,380.35","1,385.05","1,388.96","1,372.61","","-0.34%"
"12/24/2010","1,384.75","1,380.55","1,386.14","1,378.82","","0.32%"
"12/27/2010","1,384.10","1,384.75","1,386.70","1,372.75","","-0.05%"
"12/28/2010","1,406.39","1,383.95","1,407.15","1,382.45","","1.61%"
"12/29/2010","1,410.95","1,405.96","1,414.35","1,400.75","","0.32%"
"12/30/2010","1,404.45","1,411.35","1,414.95","1,402.55","","-0.46%"
"12/31/2010","1,421.45","1,406.15","1,423.15","1,405.25","","1.21%"
"01/03/2011","1,414.30","1,421.30","1,424.07","1,412.24","","-0.50%"
"01/04/2011","1,380.60","1,414.38","1,417.59","1,372.38","","-2.38%"
"01/05/2011","1,377.48","1,380.94","1,385.73","1,364.48","","-0.23%"
"01/06/2011","1,371.40","1,377.95","1,380.20","1,364.95","","-0.44%"
"01/07/2011","1,369.60","1,372.10","1,379.74","1,353.30","","-0.13%"
"01/10/2011","1,375.05","1,369.30","1,376.50","1,365.64","","0.40%"
"01/11/2011","1,382.45","1,374.90","1,386.96","1,372.90","","0.54%"
"01/12/2011","1,386.50","1,381.00","1,389.40","1,376.65","","0.29%"
"01/13/2011","1,374.36","1,388.16","1,393.61","1,370.17","","-0.88%"
"01/14/2011","1,361.85","1,373.35","1,378.35","1,355.49","","-0.91%"
"01/17/2011","1,362.78","1,359.53","1,366.22","1,357.47","","0.07%"
"01/18/2011","1,367.76","1,361.45","1,376.61","1,360.01","","0.37%"
"01/19/2011","1,370.20","1,368.10","1,379.16","1,365.70","","0.18%"
"01/20/2011","1,345.85","1,370.35","1,371.55","1,343.00","","-1.78%"
"01/21/2011","1,342.51","1,345.91","1,350.70","1,337.95","","-0.25%"
"01/24/2011","1,334.70","1,343.25","1,353.40","1,333.85","","-0.58%"
"01/25/2011","1,333.75","1,334.49","1,338.75","1,323.05","","-0.07%"
"01/26/2011","1,345.89","1,333.11","1,346.76","1,325.06","","0.91%"
"01/27/2011","1,311.49","1,346.74","1,341.64","1,309.09","","-2.56%"
"01/28/2011","1,335.35","1,312.95","1,347.21","1,308.56","","1.82%"
"01/31/2011","1,332.19","1,336.93","1,346.18","1,323.29","","-0.24%"
"02/01/2011","1,340.60","1,332.15","1,343.60","1,325.65","","0.63%"
"02/02/2011","1,336.80","1,340.89","1,343.79","1,326.80","","-0.28%"
"02/03/2011","1,353.20","1,336.35","1,356.15","1,325.14","","1.23%"
"02/04/2011","1,349.25","1,353.80","1,358.43","1,345.30","","-0.29%"
"02/07/2011","1,349.10","1,348.15","1,353.40","1,343.13","","-0.01%"
"02/08/2011","1,364.00","1,350.65","1,368.18","1,348.45","","1.10%"
"02/09/2011","1,362.95","1,364.14","1,367.40","1,358.36","","-0.08%"
"02/10/2011","1,362.01","1,363.41","1,366.57","1,350.78","","-0.07%"
"02/11/2011","1,356.10","1,363.51","1,368.51","1,353.99","","-0.43%"
"02/14/2011","1,362.31","1,359.36","1,367.15","1,354.45","","0.46%"
"02/15/2011","1,373.40","1,362.02","1,376.85","1,360.85","","0.81%"
"02/16/2011","1,375.11","1,373.45","1,382.29","1,368.45","","0.12%"
"02/17/2011","1,383.67","1,374.53","1,385.28","1,374.43","","0.62%"
"02/18/2011","1,387.30","1,383.74","1,392.15","1,382.00","","0.26%"
"02/21/2011","1,406.45","1,388.45","1,408.70","1,388.45","","1.38%"
"02/22/2011","1,398.15","1,406.56","1,411.26","1,393.14","","-0.59%"
"02/23/2011","1,410.45","1,399.66","1,416.80","1,395.70","","0.88%"
"02/24/2011","1,400.25","1,411.97","1,418.42","1,392.00","","-0.72%"
"02/25/2011","1,409.25","1,402.06","1,412.14","1,399.54","","0.64%"
"02/28/2011","1,411.65","1,408.90","1,416.60","1,404.60","","0.17%"
"03/01/2011","1,433.85","1,410.94","1,435.00","1,409.35","","1.57%"
"03/02/2011","1,434.95","1,434.15","1,440.50","1,427.90","","0.08%"
"03/03/2011","1,416.40","1,435.15","1,436.55","1,410.36","","-1.29%"
"03/04/2011","1,429.30","1,416.09","1,432.36","1,413.41","","0.91%"
"03/07/2011","1,433.17","1,428.28","1,445.03","1,428.28","","0.27%"
"03/08/2011","1,428.89","1,431.20","1,437.16","1,423.70","","-0.30%"
"03/09/2011","1,429.50","1,428.59","1,436.55","1,423.31","","0.04%"
"03/10/2011","1,413.45","1,429.45","1,431.75","1,403.12","","-1.12%"
"03/11/2011","1,417.40","1,412.90","1,424.55","1,404.70","","0.28%"
"03/14/2011","1,428.65","1,422.09","1,433.89","1,419.79","","0.79%"
"03/15/2011","1,395.95","1,429.49","1,429.49","1,382.90","","-2.29%"
"03/16/2011","1,401.30","1,396.80","1,408.35","1,393.85","","0.38%"
"03/17/2011","1,404.40","1,401.99","1,406.95","1,388.25","","0.22%"
"03/18/2011","1,419.55","1,405.39","1,425.70","1,403.40","","1.08%"
"03/21/2011","1,427.05","1,426.46","1,436.70","1,425.19","","0.53%"
"03/22/2011","1,428.55","1,427.95","1,428.74","1,424.86","","0.11%"
"03/23/2011","1,438.20","1,429.49","1,442.90","1,427.61","","0.68%"
"03/24/2011","1,431.10","1,439.29","1,449.40","1,425.20","","-0.49%"
"03/25/2011","1,429.65","1,432.80","1,438.70","1,422.79","","-0.10%"
"03/28/2011","1,420.65","1,427.85","1,430.04","1,411.95","","-0.63%"
"03/29/2011","1,418.80","1,422.20","1,425.10","1,412.85","","-0.13%"
"03/30/2011","1,423.88","1,418.52","1,430.50","1,412.25","","0.36%"
"03/31/2011","1,432.00","1,424.85","1,441.30","1,422.25","","0.57%"
"04/01/2011","1,428.38","1,432.59","1,436.55","1,413.05","","-0.25%"
"04/04/2011","1,436.94","1,428.74","1,438.94","1,427.79","","0.60%"
"04/05/2011","1,451.10","1,437.05","1,457.35","1,430.10","","0.99%"
"04/06/2011","1,457.50","1,456.70","1,462.41","1,451.60","","0.44%"
"04/07/2011","1,458.50","1,460.70","1,466.80","1,454.09","","0.07%"
"04/08/2011","1,475.10","1,460.39","1,476.85","1,458.25","","1.14%"
"04/11/2011","1,463.40","1,473.55","1,476.61","1,459.20","","-0.79%"
"04/12/2011","1,453.60","1,462.15","1,467.50","1,443.89","","-0.67%"
"04/13/2011","1,457.75","1,452.49","1,462.30","1,450.96","","0.29%"
"04/14/2011","1,474.90","1,459.15","1,477.30","1,454.80","","1.18%"
"04/15/2011","1,486.50","1,476.79","1,489.90","1,473.20","","0.79%"
"04/18/2011","1,495.51","1,486.43","1,497.64","1,477.59","","0.61%"
"04/19/2011","1,495.10","1,497.29","1,501.31","1,489.30","","-0.03%"
"04/20/2011","1,502.35","1,497.30","1,507.70","1,495.16","","0.48%"
"04/21/2011","1,504.35","1,503.49","1,510.75","1,502.35","","0.13%"
"04/22/2011","1,508.13","1,507.35","1,512.95","1,502.15","","0.25%"
"04/25/2011","1,507.25","1,511.45","1,520.10","1,503.70","","-0.06%"
"04/26/2011","1,507.05","1,505.94","1,507.91","1,493.00","","-0.01%"
"04/27/2011","1,526.90","1,506.59","1,530.40","1,503.30","","1.32%"
"04/28/2011","1,535.45","1,527.51","1,538.85","1,524.25","","0.56%"
"04/29/2011","1,565.60","1,536.95","1,571.30","1,533.00","","1.96%"
"05/02/2011","1,545.00","1,567.79","1,576.29","1,540.89","","-1.32%"
"05/03/2011","1,536.83","1,545.34","1,551.80","1,527.96","","-0.53%"
"05/04/2011","1,515.95","1,537.10","1,543.46","1,506.50","","-1.36%"
"05/05/2011","1,473.65","1,516.79","1,523.69","1,464.40","","-2.79%"
"05/06/2011","1,495.25","1,474.65","1,498.59","1,471.05","","1.47%"
"05/09/2011","1,513.05","1,493.26","1,514.31","1,489.99","","1.19%"
"05/10/2011","1,515.72","1,513.03","1,519.65","1,506.17","","0.18%"
